#transfer,sendCpu,sendIo,recvCpu,recvIo,btlNck
1,0,0,0,0,100
2,0,0,0,0,200
3,0,0,0,0,300
4,0,0,0,0,400
5,0,0,0,0,500
6,0,0,0,0,600
7,0,0,0,0,700
8,0,0,0,0,800
9,0,0,0,0,900
10,0,0,0,0,100
11,0,0,0,0,200
12,0,0,0,0,300
13,0,0,0,0,400
14,0,0,0,0,500
15,0,0,0,0,600
16,0,0,0,0,700
17,0,0,0,0,800
18,0,0,0,0,900
19,0,0,0,0,100
20,0,0,0,0,200
21,0,0,0,0,300
22,0,0,0,0,400
23,0,0,0,0,500
24,0,0,0,0,600
25,0,0,0,0,700
26,0,0,0,0,800
27,0,0,0,0,900
28,0,0,0,0,100
29,0,0,0,0,200
30,0,0,0,0,300
31,0,0,0,0,400
32,0,0,0,0,500
33,0,0,0,0,600
34,0,0,0,0,700
35,0,0,0,0,800
36,0,0,0,0,100
37,0,0,0,0,200
38,0,0,0,0,300
39,0,0,0,0,400
40,0,0,0,0,500
41,0,0,0,0,600
42,0,0,0,0,700
43,0,0,0,0,800
44,0,0,0,0,900
45,0,0,0,0,100
46,0,0,0,0,200
47,0,0,0,0,300
48,0,0,0,0,400
49,0,0,0,0,500
50,0,0,0,0,600
51,0,0,0,0,700
52,0,0,0,0,800
53,0,0,0,0,900
54,100,0,0,0,400
55,100,0,0,0,400
56,100,0,0,0,400
57,100,0,0,0,400
58,100,0,0,0,400
59,100,0,0,0,400
60,100,0,0,0,400
61,100,0,0,0,400
62,100,0,0,0,400
63,100,0,0,0,400
64,100,0,0,0,400
65,200,0,0,0,400
66,200,0,0,0,400
67,200,0,0,0,400
68,200,0,0,0,400
69,200,0,0,0,400
70,200,0,0,0,400
71,200,0,0,0,400
72,200,0,0,0,400
73,200,0,0,0,400
74,200,0,0,0,400
75,200,0,0,0,400
76,0,0,200,0,400
77,0,0,200,0,400
78,0,0,200,0,400
79,0,0,200,0,400
80,0,0,200,0,400
81,0,0,200,0,400
82,0,0,200,0,400
83,0,0,200,0,400
84,0,0,200,0,400
85,0,0,200,0,400
86,0,0,200,0,400
87,0,0,100,0,400
88,0,0,100,0,400
89,0,0,100,0,400
90,0,0,100,0,400
91,0,0,100,0,400
92,0,0,100,0,400
93,0,0,100,0,400
94,0,0,100,0,400
95,0,0,100,0,400
96,0,0,100,0,400
97,100,0,100,0,600
98,100,0,100,0,600
99,100,0,100,0,600
100,100,0,100,0,600
101,100,0,100,0,600
102,100,0,100,0,600
103,100,0,100,0,600
104,100,0,100,0,600
105,100,0,100,0,600
106,100,0,100,0,600
107,100,0,100,0,600
108,100,0,100,0,300
109,100,0,100,0,300
110,100,0,100,0,300
111,100,0,100,0,300
112,100,0,100,0,300
113,100,0,100,0,300
114,100,0,100,0,300
115,100,0,100,0,300
116,100,0,100,0,300
117,100,0,100,0,300
118,150,0,150,0,300
119,150,0,150,0,300
120,150,0,150,0,300
121,150,0,150,0,300
122,150,0,150,0,300
123,150,0,150,0,300
124,150,0,150,0,600
125,150,0,150,0,600
126,150,0,150,0,600
127,150,0,150,0,600
128,150,0,150,0,600
