#transfer,sendCpu,sendIo,recvCpu,recvIo
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,60,0,0,0
12,60,0,0,0
13,60,0,0,0
14,60,0,0,0
15,60,0,0,0
16,60,0,0,0
17,60,0,0,0
18,60,0,0,0
19,60,0,0,0
20,60,0,0,0
21,80,0,0,0
22,80,0,0,0
23,80,0,0,0
24,80,0,0,0
25,80,0,0,0
26,80,0,0,0
27,80,0,0,0
28,80,0,0,0
29,80,0,0,0
30,80,0,0,0
31,100,0,0,0
32,100,0,0,0
33,100,0,0,0
34,100,0,0,0
35,100,0,0,0
36,100,0,0,0
37,100,0,0,0
38,100,0,0,0
39,100,0,0,0
40,100,0,0,0
41,0,0,60,0
42,0,0,60,0
43,0,0,60,0
44,0,0,60,0
45,0,0,60,0
46,0,0,60,0
47,0,0,60,0
48,0,0,60,0
49,0,0,60,0
50,0,0,60,0
51,0,0,80,0
52,0,0,80,0
53,0,0,80,0
54,0,0,80,0
55,0,0,80,0
56,0,0,80,0
57,0,0,80,0
58,0,0,80,0
59,0,0,80,0
60,0,0,80,0
61,0,0,100,0
62,0,0,100,0
63,0,0,100,0
64,0,0,100,0
65,0,0,100,0
66,0,0,100,0
67,0,0,100,0
68,0,0,100,0
69,0,0,100,0
70,0,0,100,0
71,60,0,60,0
72,60,0,60,0
73,60,0,60,0
74,60,0,60,0
75,60,0,60,0
76,60,0,60,0
77,60,0,60,0
78,60,0,60,0
79,60,0,60,0
80,60,0,60,0
81,80,0,80,0
82,80,0,80,0
83,80,0,80,0
84,80,0,80,0
85,80,0,80,0
86,80,0,80,0
87,80,0,80,0
88,80,0,80,0
89,80,0,80,0
90,80,0,80,0
91,80,0,80,0
