transfer,sendCpuUtil,sendDiskUtil,sendProcNum,sendTransferCpu,recvCpuUtil,recvDiskUtil,recvProcNum,recvTransferCpu,dur,size,rate
1,7.80275,0.752605042017,147.794117647,7.708,14.3064166667,0.789915966387,142.8,17.220952381,120.00,13.0G,934M
2,7.91858333333,0.829411764706,149.37254902,7.617,14.5093333333,0.806722689076,144.761904762,19.0466666667,120.00,13.1G,934M
3,7.83,0.850420168067,148.950980392,7.74141414141,15.0719166667,0.826890756303,144.819047619,19.9695238095,120.00,13.0G,933M
4,7.80616666667,0.816050420168,148.81372549,8.124,15.086,0.826890756303,143.285714286,18.6857142857,120.00,13.0G,934M
5,7.98033333333,0.826806722689,149.509803922,7.90909090909,15.2341666667,0.847058823529,145.752380952,17.5438095238,120.00,13.0G,934M
6,8.04516666667,0.890756302521,147.901960784,7.67171717172,14.7864166667,0.879831932773,144.180952381,17.6638095238,120.00,13.0G,934M
7,8.42525,0.91731092437,145.264705882,8.545,15.13875,1.01478991597,140.085714286,19.5828571429,120.00,13.0G,934M
8,8.06225,0.869579831933,146.039215686,8.361,15.383,0.931092436975,142.733333333,19.6428571429,120.00,13.0G,934M
9,8.02991666667,0.829915966387,145.833333333,7.64949494949,15.3513333333,0.883697478992,142.714285714,18.500952381,120.00,13.0G,933M
10,8.03083333333,0.823529411765,145.803921569,7.534,15.438,0.853529411765,141.771428571,17.9123809524,120.00,13.1G,934M
11,100.0,0.783193277311,208.329787234,9.08777777778,16.9254166667,0.826386554622,142.688679245,19.2801886792,120.00,13.0G,930M
12,100.0,0.782941176471,208.308510638,9.45888888889,18.2596666667,0.890756302521,141.830188679,19.5028301887,120.00,13.0G,931M
13,100.0,0.803361344538,207.617021277,9.41666666667,16.4295,0.843697478992,141.830188679,18.9141509434,120.00,13.0G,931M
14,99.9036666667,0.823529411765,208.0,9.25777777778,17.1069166667,0.87,142.622641509,19.620754717,120.00,13.0G,930M
15,99.9245833333,0.850420168067,206.861702128,9.3967032967,17.7701666667,0.813445378151,141.698113208,19.1877358491,120.00,13.0G,930M
16,99.94975,0.863865546218,207.659574468,8.83626373626,17.03575,0.810084033613,142.113207547,19.3518867925,120.00,13.0G,930M
17,99.8995,0.843697478992,206.670212766,10.1377777778,16.7819166667,0.833613445378,142.613207547,18.6462264151,120.00,13.0G,930M
18,99.9623333333,0.786554621849,207.627659574,9.47032967033,17.2864166667,0.840336134454,141.679245283,18.8188679245,120.00,13.0G,930M
19,100.0,0.806722689076,208.595744681,10.0711111111,17.9199166667,0.917142857143,142.462264151,18.2877358491,120.00,13.0G,930M
20,100.0,0.840336134454,207.157894737,9.46593406593,16.7140833333,0.887394957983,141.726415094,18.0490566038,120.00,13.0G,931M
21,99.9875,0.826890756303,225.478723404,8.80666666667,16.2671666667,0.80974789916,141.820754717,19.0867924528,120.00,13.0G,930M
22,99.9958333333,0.76974789916,227.247311828,9.75888888889,17.1151666667,0.846722689076,142.641509434,18.7669811321,120.00,13.0G,930M
23,99.9458333333,0.853445378151,228.075268817,9.30555555556,16.0955833333,0.779495798319,142.283018868,19.5490566038,120.00,13.0G,930M
24,100.0,0.836974789916,228.365591398,9.88444444444,16.6155,0.853781512605,142.603773585,18.558490566,120.00,13.0G,930M
25,99.9120833333,0.793277310924,227.795698925,9.15842696629,17.3733333333,0.873949579832,142.858490566,17.858490566,120.00,13.0G,930M
26,100.0,0.826470588235,226.074468085,9.09111111111,16.5791666667,0.830588235294,141.858490566,18.7575471698,120.00,13.0G,930M
27,100.0,0.799663865546,227.010752688,10.0388888889,15.9800833333,0.856806722689,142.679245283,19.7830188679,120.00,13.0G,931M
28,100.0,0.840336134454,227.978494624,9.6404494382,17.4209166667,0.860504201681,141.29245283,19.0481132075,120.00,13.0G,930M
29,99.9460833333,0.816806722689,226.419354839,9.88202247191,17.3741666667,0.873949579832,141.132075472,18.8245283019,120.00,13.0G,930M
30,100.0,0.76974789916,224.489361702,9.44333333333,15.92475,0.927731092437,142.669811321,18.3047169811,120.00,13.0G,930M
31,99.9245833333,0.796638655462,246.413043478,9.04382022472,17.4196666667,0.83,141.566037736,19.4660377358,120.00,13.0G,930M
32,99.9666666667,0.786554621849,246.5,9.7202247191,15.4471666667,0.924033613445,141.716981132,18.0981132075,120.00,13.0G,930M
33,99.933,0.941176470588,245.23655914,9.15393258427,17.2460833333,0.850420168067,141.924528302,17.8377358491,120.00,13.0G,931M
34,99.9125,0.84,247.076086957,9.25227272727,17.95075,0.816806722689,140.877358491,19.591509434,120.00,13.0G,929M
35,99.9666666667,0.87731092437,245.891304348,10.1494382022,17.37275,0.897478991597,142.509433962,17.3226415094,120.00,13.0G,931M
36,100.0,0.806722689076,247.565217391,9.53595505618,16.781,0.843697478992,141.971698113,19.3264150943,120.00,13.0G,931M
37,100.0,0.8,245.52688172,9.18202247191,17.14975,0.910672268908,141.641509434,20.1933962264,120.00,13.0G,931M
38,100.0,0.789915966387,246.597826087,9.96179775281,17.3311666667,0.833613445378,142.5,19.7556603774,120.00,13.0G,931M
39,100.0,0.816806722689,247.247311828,8.9606741573,16.5813333333,0.900840336134,140.79245283,19.3264150943,120.00,13.0G,931M
40,99.9666666667,0.826890756303,249.010869565,9.26853932584,15.9800833333,0.782857142857,140.669811321,19.1783018868,120.00,13.0G,930M
41,7.96325,0.884033613445,145.913461538,7.441,100.0,0.813445378151,201.578947368,19.2652631579,120.00,13.0G,928M
42,8.07533333333,0.836470588235,145.903846154,7.846,99.9958333333,0.840336134454,199.915789474,18.4652631579,120.00,13.0G,929M
43,8.02708333333,0.867226890756,146.718446602,7.81616161616,99.9791666667,0.836974789916,200.822916667,18.6614583333,120.00,13.0G,929M
44,7.903,0.910924369748,144.873786408,7.543,99.9625,0.752941176471,201.09375,19.115625,120.00,13.0G,928M
45,8.06716666667,0.887142857143,146.59223301,7.394,99.9916666667,0.810084033613,202.084210526,19.1578947368,120.00,13.0G,929M
46,8.01166666667,0.86218487395,146.747572816,7.74242424242,99.9833333333,0.826890756303,201.431578947,20.14,120.00,13.0G,927M
47,7.75283333333,0.803361344538,145.796116505,7.464,99.95,0.81,200.694736842,20.4926315789,120.00,13.0G,927M
48,8.0535,0.930756302521,146.621359223,7.533,100.0,0.776470588235,202.315789474,19.7515789474,120.00,13.0G,930M
49,8.16258333333,0.846722689076,144.932038835,7.989,100.0,0.773109243697,201.905263158,19.9336842105,120.00,12.9G,927M
50,8.14441666667,0.873949579832,145.644230769,7.992,100.0,0.813109243697,199.833333333,19.0572916667,120.00,13.0G,928M
51,7.94425,0.94,146.461538462,7.71717171717,100.0,0.783193277311,220.042553191,18.6457446809,120.00,13.0G,930M
52,8.15708333333,0.876470588235,145.873786408,7.549,99.9791666667,0.813445378151,220.861702128,18.7265957447,120.00,13.0G,929M
53,7.704,0.860504201681,145.990384615,7.388,99.92425,0.776470588235,220.829787234,19.714893617,120.00,13.0G,928M
54,7.61725,0.806050420168,144.815533981,7.54949494949,99.9958333333,0.77974789916,221.212765957,18.9553191489,120.00,13.0G,929M
55,8.07558333333,0.88731092437,146.211538462,7.69,100.0,0.752941176471,220.638297872,19.614893617,120.00,13.0G,928M
56,7.81941666667,0.936050420168,146.796116505,7.161,99.9706666667,0.793277310924,220.021276596,18.6872340426,120.00,13.0G,929M
57,8.12558333333,0.897394957983,144.326923077,7.818,100.0,0.83025210084,220.468085106,18.9340425532,120.00,13.0G,927M
58,8.52808333333,0.97756302521,145.970873786,8.81919191919,99.9626666667,0.90756302521,218.712765957,18.8489361702,120.00,13.0G,927M
59,7.859,0.810084033613,146.796116505,7.724,99.9,0.820168067227,219.372340426,19.6159574468,120.00,13.0G,928M
